Type,Value
url,ftp.jp.serveuser.com
url,ftp.key.zzux.com
url,ftp.knowledge.sellclassics.com
url,ftp.lan.dynssl.com
url,ftp.latestnews.epac.to
url,ftp.latestnews.organiccrap.com
url,ftp.leedong.longmusic.com
url,ftp.macfee.mrface.com
url,ftp.maffc.mrface.com
url,ftp.malware.dsmtp.com
url,ftp.manager.jetos.com
url,ftp.martin.sellclassics.com
url,ftp.mason.vizvaz.com
url,ftp.mediapath.organiccrap.com
url,ftp.microsoft.got-game.org
url,ftp.microsoft.mrface.com
url,ftp.microsoftimages.organiccrap.com
url,ftp.microsoftmusic.mrbasic.com
url,ftp.microsoftqckmanager.pcanywhere.net
url,ftp.microsoftupdate.mrbasic.com
url,ftp.microsoftupdate.qhigh.com
url,ftp.micrsoftware.dsmtp.com
url,ftp.mircsoft.compress.to
url,ftp.mmy.ddns.us
url,ftp.mod.jetos.com
url,ftp.mofa.dynamic-dns.net
url,ftp.mofa.ns01.info
url,ftp.moscowdic.trickip.org
url,ftp.msg.ezua.com
url,ftp.musicfile.ikwb.com
url,ftp.musicjj.zzux.com
url,ftp.mymusicbox.vizvaz.com
url,ftp.myphpwebsite.itsaol.com
url,ftp.myrestroomimage.isasecret.com
url,ftp.na.americanunfinished.com
url,ftp.na.onmypc.org
url,ftp.newsdata.jkub.com
url,ftp.newsroom.cleansite.info
url,ftp.no.authorizeddns.org
url,ftp.nsa.mefound.com
url,ftp.nt.mynumber.org
url,ftp.nttdata.otzo.com
url,ftp.nz.compress.to
url,ftp.ol.almostmy.com
url,ftp.oracleupdate.dns04.com
url,ftp.portal.mrface.com
url,ftp.portal.sendsmtp.com
url,ftp.portalser.dynamic-dns.net
url,ftp.praskovya-matveyeva.mefound.com
url,ftp.praskovya-ulyanova.dumb1.com
url,ftp.products.almostmy.com
url,ftp.products.cleansite.us
url,ftp.products.serveuser.com
url,ftp.purchase.lflinkup.org
url,ftp.recent.dns-stuff.com
url,ftp.recent.fartit.com
url,ftp.referred.gr8domain.biz
url,ftp.referred.yourtrap.com
url,ftp.register.ourhobby.com
url,ftp.registration2.instanthq.com
url,ftp.registrations.4pu.com
url,ftp.registrations.organiccrap.com
url,ftp.remeberdata.iownyour.org
url,ftp.reserveds.onedumb.com
url,ftp.rethem.almostmy.com
url,ftp.sdmsg.onmypc.org
url,ftp.se.toythieves.com
url,ftp.secertnews.mrbasic.com
url,ftp.senseye.ikwb.com
url,ftp.senseye.mrbonus.com
url,ftp.septdlluckysystem.jungleheart.com
url,ftp.seraphim-yurieva.justdied.com
url,ftp.serv.justdied.com
url,ftp.server1.proxydns.com
url,ftp.seyesb.acmetoy.com
url,ftp.shugiin.jkub.com
url,ftp.singed.otzo.com
url,ftp.sstday.jkub.com
url,ftp.support1.mrface.com
url,ftp.supportus.mefound.com
url,ftp.svc.dynssl.com
url,ftp.synssl.dnset.com
url,ftp.tamraj.fartit.com
url,ftp.tfa.longmusic.com
url,ftp.thunder.wikaba.com
url,ftp.ticket.instanthq.com
url,ftp.ticket.serveuser.com
url,ftp.tokyofile.2waky.com
url,ftp.tophost.dynamicdns.co.uk
url,ftp.transfer.lflinkup.org
url,ftp.transfer.mrbasic.com
url,ftp.transfer.vizvaz.com
url,ftp.ugreen.itemdb.com
url,ftp.uk.dynamicdns.org.uk
url,ftp.un.ddns.info
url,ftp.un.dnsrd.com
url,ftp.usa.itsaol.com
url,ftp.well.itsaol.com
url,ftp.well.mrbasic.com
url,ftp.wike.wikaba.com
url,ftp.windowfile.itemdb.com
url,ftp.windowsimages.itemdb.com
url,ftp.windowsimages.qhigh.com
url,ftp.windowsmirrors.vizvaz.com
url,ftp.windowsupdate.2waky.com
url,ftp.windowsupdate.3-a.net
url,ftp.windowsupdate.authorizeddns.us
url,ftp.windowsupdate.dns05.com
url,ftp.windowsupdate.esmtp.biz
url,ftp.windowsupdate.ezua.com
url,ftp.windowsupdate.fartit.com
url,ftp.windowsupdate.gettrials.com
url,ftp.windowsupdate.instanthq.com
url,ftp.windowsupdate.jungleheart.com
url,ftp.windowsupdate.lflink.com
url,ftp.windowsupdate.mrface.com
url,ftp.windowsupdate.mylftv.com
url,ftp.windowsupdate.rebatesrule.net
url,ftp.windowsupdate.sellclassics.com
url,ftp.windowsupdate.serveusers.com
url,ftp.yandexr.sellclassics.com
url,fu.epac.to
url,fuck.ikwb.com
url,fuckanti.com
url,fuckdd.8800.org
url,fuckmm.8800.org
url,fuckmm.dns-dns.com
url,fukuoka.cloud-maste.com
url,g3ypf.online
url,gadskysun.com
url,gavin.ccfchrist.com
url,generat.almostmy.com
url,generousd.hopto.org
url,gensuzuki.6600.org
url,getfond.info
url,gh.mysecondarydns.com
url,gifuonlineshopping.mynumber.org
url,glicense.shenajou.com
url,globalnews.wikaba.com
url,gmail.com.mailsserver.com
url,gmpcw.com
url,gold.polopurple.com
url,goldtoyota.com
url,goodmusic.justdied.com
url,goodsampjp.com
url,gooesdataios.instanthq.com
url,google.macforlinux.net
url,google.usrobothome.com
url,googlemeail.com
url,gostudyantivirus.com
url,gostudymbaa.com
url,gotourisma.com
url,gt4study.com
url,gtsofta.com
url,Hamiltion.catholicmmb.com
url,haoyujd.info
url,happy.workerisgood.com
url,have8000.com
url,helpus.ddns.info
url,helshellfucde.8866.org
url,hg8fmv.racing
url,hii.qhigh.com
url,hk.2012yearleft.com
url,hk.cmdnetview.com
url,hk.have8000.com
url,hk.loveddos.com
url,home.trickip.org
url,hostport9.net
url,hotmai.info
url,hotmail.com.mailsserver.com
url,hukuoka.cloud-maste.com
url,iamges.itunesmusic.jkub.com
url,ibmmsg.strangled.net
url,icfeds.cf
url,idpmus.hostport9.net
url,ijica.in
url,im.suibian2010.info
url,image.websago.info
url,images.itunesmusic.jkub.com
url,images.thedomais.info
url,images.tyoto-go-jp.com
url,images.windowsupdate.organiccrap.com
url,imap.architectisusa.com
url,imap.dnset.com
url,imap.lflink.com
url,imap.onmypc.net
url,imap.ygto.com
url,img.station155.com
url,improvejpese.com
url,incloud-go.com
url,incloud-obert.com
url,ingemar.catholicmmb.com
url,innocent-isayev.sexidude.com
url,innov-tec.com.ua
url,inspgon.re26.com
url,interpreter.shenajou.com
url,invoices.sexxxy.biz
url,io.jkub.com
url,iphone.vizvaz.com
url,ipv4.applemusic.itemdb.com
url,ipv4.itunesmusic.jkub.com
url,ipv4.japanenvnews.qpoe.com
url,ipv4.microsoftmusic.onedumb.com
url,ipv4.microsoftupdate.mrbasic.com
url,ipv4.microsoftupdate.qhigh.com
url,ipv4.windowsupdate.3-a.net
url,ipv4.windowsupdate.authorizeddns.org
url,ipv4.windowsupdate.authorizeddns.us
url,ipv4.windowsupdate.dnset.com
url,ipv4.windowsupdate.esmtp.biz
url,ipv4.windowsupdate.ezua.com
url,ipv4.windowsupdate.fartit.com
url,ipv4.windowsupdate.gettrials.com
url,ipv4.windowsupdate.itsaol.com
url,ipv4.windowsupdate.lflink.com
url,ipv4.windowsupdate.lflinkup.com
url,ipv4.windowsupdate.mrface.com
url,ipv4.windowsupdate.mylftv.com
url,ipv4.windowsupdate.nsatcdns.com
url,ipv4.windowsupdate.x24hr.com
url,ipv6microsoft.dlmix.ourdvs.com
url,itlans.isasecret.com
url,itunesdownload.jkub.com
url,itunesdownload.vizvaz.com
url,itunesdownload.wikaba.com
url,itunesimages.itemdb.com
url,itunesimages.itsaol.com
url,itunesimages.qpoe.com
url,itunesmirror.fartit.com
url,itunesmirror.itsaol.com
url,itunesmusic.ikwb.com
url,itunesmusic.jetos.com
url,itunesmusic.jkub.com
url,itunesmusic.zzux.com
url,itunesupdate.itsaol.com
url,itunesupdates.organiccrap.com
url,iw.mrslove.com
url,ixrayeye.com
url,james.tffghelth.com
url,janpan.bigmoney.biz
url,janpun.americanunfinished.com
url,jap.japanmusicinfo.com
url,japan.fuckanti.com
url,japan.linuxforover.com
url,japan.loveddos.com
url,japanenvnews.qpoe.com
url,japanfilmsite.ikwb.com
url,japanfst.japanteam.org
url,japanmusicinfo.com
url,japanteam.org
url,jcie.mofa.ns01.info
url,jepsen.r3u8.com
url,jica-go-jp.bike
url,jica-go-jp.biz
url,jimin.jimindaddy.com
url,jimin.mymom.info
url,jimindaddy.com
url,jimingroup.com
url,jimin-jp.biz
url,jimin-jp.biz
url,jimintokoy.com
url,jj.mysecondarydns.com
url,jmuroran.com
url,jp.rakutenmusic.com
url,jp.serveuser.com
url,jpcert.org
url,jpn.longmusic.com
url,jpnxzshopdata.authorizeddns.org
url,jpstarmarket.serveusers.com
url,kaka.lehigtapp.com
url,kawasaki.cloud-maste.com
